Year;Country of wood production;Province of wood production;Pulp wood source;Wood supplier;Wood supplier corporate group;Pulp mill;Pulp mill corporate group;Zero deforestation commitments;Product type;Pulp grade;Province of pulp export;Importer;Importer corporate group;Country of importer;Country of destination;Province of wood production trase id;Wood supplier trase id;Emissions from peat burning;Emissions from peat subsidence;Gross emissions from land use change;Net emissions from land use change;Country of wood production trase id;Country of destination (Trase ID);Country of importer trase id;Pulp volume;Annual wood pulp deforestation;Annual burned area;Total emissions in wood pulp concession;Concession area;Annual deforestation;Annual Deforestation on Peatlands;Pulpwood planted area;Peat area;Natural forest area;Historical deforestation for wood pulp;Pulpwood volume
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;ABU DHABI NATIONAL PAPER MILL LLC;ADNPM;UNITED ARAB EMIRATES;UNITED ARAB EMIRATES;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;AE;AE;160,5040628;0;0;0;0;0;0;0;0;0;0;667,6320345
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;ALLIANCE CHEMICALS (PVT) LTD;AKZO NOBEL SPECIALITY CHEMICALS / NOURYON;PAKISTAN;PAKISTAN;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;PK;PK;2,757054458;0;0;0;0;0;0;0;0;0;0;11,4682323
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;AMERICAN PAPER CONVERTING;APC;UNITED STATES;UNITED STATES;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;US;US;3,145771076;0;0;0;0;0;0;0;0;0;0;13,08513633
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;ANMOL PRODUCTS ETHIOPIA PLC;ANMOL;ETHIOPIA;DJIBOUTI;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;DJ;ET;42,22160313;0;0;0;0;0;0;0;0;0;0;175,6248054
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;ARJUN PULP AND PAPER (INDIA) PVT LTD;ARJUN;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;IN;IN;11,01418772;0;0;0;0;0;0;0;0;0;0;45,8145696
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;ARJUN TECHNOLOGIES INDIA LTD;ARJUN;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;IN;IN;22,92556897;0;0;0;0;0;0;0;0;0;0;95,36110171
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;BASE PAPERS LTD;BASE PAPER;BANGLADESH;BANGLADESH;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;BD;BD;23,03198691;0;0;0;0;0;0;0;0;0;0;95,80375732
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;BSA FOOD PRODUCTS CO LTD;UNKNOWN AFFILIATION;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;TH;TH;9,167027257;0;0;0;0;0;0;0;0;0;0;38,13112859
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;C AND S HONG KONG CO LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;HK;22,98173527;0;0;0;0;0;0;0;0;0;0;95,5947308
2017;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;C AND S MACAO CO LTD;UNKNOWN AFFILIATION;CHINA (MAINLAND);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;CN;45,82743348;0;0;0;0;0;0;0;0;0;0;190,6236024
