Year;Country of wood production;Province of wood production;Pulp wood source;Wood supplier;Wood supplier corporate group;Pulp mill;Pulp mill corporate group;Zero deforestation commitments;Product type;Pulp grade;Province of pulp export;Importer;Importer corporate group;Country of importer;Country of destination;Province of wood production trase id;Wood supplier trase id;Emissions from peat burning;Emissions from peat subsidence;Gross emissions from land use change;Net emissions from land use change;Country of wood production trase id;Country of destination (Trase ID);Country of importer trase id;Pulp volume;Annual wood pulp deforestation;Annual burned area;Total emissions in wood pulp concession;Concession area;Annual deforestation;Annual Deforestation on Peatlands;Pulpwood planted area;Peat area;Natural forest area;Historical deforestation for wood pulp;Pulpwood volume
2022;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;BRIGHTENING SKY CO LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;HK;148,0619184;0;0;0;0;0;0;0;0;0;0;608,1809675
2022;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GILSTEAD PACIFIC (HK) LIMITED;UNKNOWN AFFILIATION;CHINA (HONG KONG);VIETNAM;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;VN;HK;23,23174621;0;0;0;0;0;0;0;0;0;0;95,42700808
2022;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;VIETNAM;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;VN;SG;29,05654472;0;0;0;0;0;0;0;0;0;0;119,3530225
2022;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GREAT CHAMP (L) BHD;UNKNOWN AFFILIATION;MALAYSIA;INDIA;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;IN;MY;166,9021688;0;0;0;0;0;0;0;0;0;0;685,5694128
2022;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;PROCESSED DOMESTICALLY;PROCESSED DOMESTICALLY;PROCESSED DOMESTICALLY;INDONESIA;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;ID;;14594,48074;0;0;0;0;0;0;0;0;0;0;59948,46959
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ACCENT MICROCELL PTE LTD;UNKNOWN AFFILIATION;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;98,96352336;66,35544661;ID;IN;IN;1,862770705;0,219900325;0,029320043;66,35544661;47,34558709;0,492789606;0;2,377017798;0;8,074651231;1,287987617;9,31539662
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ALFARIS ALASSEEL TRADING CO.;UNKNOWN AFFILIATION;SAUDI ARABIA;SAUDI ARABIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;54,45004238;36,50897581;ID;SA;SA;1,024902312;0,120989852;0,01613198;36,50897581;26,0496912;0,271134394;0;1,307842682;0;4,44269855;0,708654845;5,125360573
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;AMSTER MICROCELL PRIVATE LIMITED,;UNKNOWN AFFILIATION;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;65,76221842;44,09383604;ID;IN;IN;1,23782915;0,146125893;0,019483452;44,09383604;31,46160054;0,327463459;0;1,579551316;0;5,365683838;0,855880229;6,19017115
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ANKIT PULPS AND BOARDS PVT LTD;ANKIT;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;315,9834969;211,8682252;ID;IN;IN;5,947694477;0,702126109;0,093616815;211,8682252;151,1710948;1,57344219;0;7,589648896;0;25,78178753;4,112452926;29,74339938
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ASIAWIDE RESOURCES LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0417;0;0;137,7638952;92,37125437;ID;CN;HK;2,593102382;0,306116075;0,040815477;92,37125437;65,90824857;0,685996348;0;3,308968997;0;11,24045879;1,79296558;12,96766
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;BANGLANE PAPER MILL CO LTD;BPM;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;63,68147361;42,69868815;ID;TH;TH;1,198663704;0,141502407;0,018866988;42,69868815;30,46614199;0,317102375;0;1,529573635;0;5,195911299;0,828799811;5,994311478
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;BULLEH SHAH PACKAGING (PVT) LIMITED;PACKAGING LTD;PAKISTAN;PAKISTAN;ID-15;ID-WOOD-CONCESSION-0417;0;0;78,02626468;52,31692915;ID;PK;PK;1,468672852;0,173377022;0,023116936;52,31692915;37,32889841;0,38853237;0;1,874123046;0;6,36633431;1,015493985;7,344580889
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;C.A.S PAPER CO LTD;C.A.S;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;66,29500813;44,45107372;ID;TH;TH;1,247857744;0,14730977;0,019641303;44,45107372;31,71649487;0,33011649;0;1,592348462;0;5,409155321;0,862814365;6,240322431
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;C.A.S PAPER MILL CO LTD;C.A.S;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;40,06172201;26,86154823;ID;TH;TH;0,754073821;0,089018513;0,011869135;26,86154823;19,16610974;0,199487645;0;0,962247735;0;3,268723889;0,521394147;3,770993768
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;CENTURY PAPER AND BOARD MILLS LTD;LAKSON;PAKISTAN;PAKISTAN;ID-15;ID-WOOD-CONCESSION-0417;0;0;21,37488357;14,33194673;ID;PK;PK;0,40233518;0,04749572;0,006332763;14,33194673;10,22605479;0,106436393;0;0,513406121;0;1,744023697;0,27818922;2,012009187
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;CENTURY PULP AND PAPER (DIVISION OF;ADITYA BIRLA;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;64,62201734;43,32932656;ID;IN;IN;1,216367372;0,143592327;0,019145644;43,32932656;30,91611178;0,32178582;0;1,552164678;0;5,272652329;0,841040773;6,082844482
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ELITE KRAFT PAPER CO LTD;UNKNOWN AFFILIATION;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;142,30349;95,41507127;ID;TH;TH;2,678550273;0,316203209;0,042160428;95,41507127;68,08005669;0,708601295;0;3,418006119;0;11,6108543;1,852047369;13,39497024
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;EMIRATES FINE TISSUE INDUSTRY LLC;UNKNOWN AFFILIATION;UNITED ARAB EMIRATES;UNITED ARAB EMIRATES;ID-15;ID-WOOD-CONCESSION-0417;0;0;42,89745582;28,76291934;ID;AE;AE;0,807450274;0,09531961;0,012709281;28,76291934;20,52276598;0,213608203;0;1,030359596;0;3,500097639;0,558300574;4,03792025
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;GLOBAL POWER CO LTD;UNKNOWN AFFILIATION;MYANMAR;MYANMAR;ID-15;ID-WOOD-CONCESSION-0417;0;0;42,35544945;28,39950185;ID;MM;MM;0,797248196;0,094115254;0,0125487;28,39950185;20,26346226;0,210909278;0;1,017341074;0;3,455874149;0,551246485;3,986901409
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;GOLDEN SUN AGRO FOODS PVT. LTD.;UNKNOWN AFFILIATION;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;35,16467611;23,57805896;ID;IN;IN;0,6618977;0,07813711;0,010418281;23,57805896;16,82329184;0,175102768;0;0,84462495;0;2,869163158;0,457660215;3,310036808
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;GURUKRUPA KRAFTS PVT LTD;UNKNOWN AFFILIATION;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;11,4130041;7,65246586;ID;IN;IN;0,214824705;0,025360084;0,003381345;7,65246586;5,460146942;0,056831139;0;0,274130437;0;0,931212071;0,148537637;1,074301482
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;HANSOL PAPER CO LTD;HANSOL;SOUTH KOREA;SOUTH KOREA;ID-15;ID-WOOD-CONCESSION-0417;0;0;2045,806441;1371,721574;ID;KR;KR;38,5078075;4,545851702;0,60611356;1371,721574;978,7435183;10,1871085;0;49,1384922;0;166,9218409;26,62570282;192,5709368
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;HENAN JIANGHE PAPER CO LTD;JIANGHE PAPER;CHINA (MAINLAND);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0417;0;0;1607,872065;1078,084787;ID;CN;CN;30,2646559;3,57274658;0,476366211;1078,084787;769,2293517;8,006410997;0;38,61968922;0;131,1898133;20,92608711;151,3483503
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;HONG WON PAPER MFG CO LTD;HONG WON;SOUTH KOREA;SOUTH KOREA;ID-15;ID-WOOD-CONCESSION-0417;0;0;1564,622378;1049,085695;ID;KR;KR;29,45057564;3,476644298;0,463552573;1049,085695;748,5380728;7,791048853;0;37,58086932;0;127,6609763;20,36320232;147,2772746
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ITC LTD;ITC;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;34,77979717;23,31999606;ID;IN;IN;0,654653201;0,077281896;0,010304253;23,31999606;16,63916017;0,173186261;0;0,835380493;0;2,837760041;0,452651104;3,273808309
2022;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ITG RESOURCES (SINGAPORE) PTE LTD;XIANMEN ITG;SINGAPORE;CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0417;0;0;104,5334967;70,09013645;ID;CN;SG;1,967613204;0,232276996;0,030970266;70,09013645;50,01034323;0,52052533;0;2,510803714;0;8,529117586;1,360479545;9,839695965
