YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,507,207762,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,507,207952,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,207463,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,207544,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,507,207729,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,507,207786,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,207480,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,207484,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,1500,738600,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,CHANGSHU,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,5000,2460767,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,CHONGQING,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3000,1464355,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TIANJIN,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3000,1614273,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TIANJIN,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,2000,1076182,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TIANJIN,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,1500,732178,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TIANJIN,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,996,486166,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TIANJIN,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,5500,2676363,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,WUHAN,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,207326,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,207355,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470329,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,6023,1855102,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,GUNSAN,SOUTH KOREA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,2864,881980,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PYEONGTAEK,SOUTH KOREA
2020,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,502,269091,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,CHITTAGONG,BANGLADESH
2020,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,241,118161,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PIPAVAV (VICTOR) PORT,INDIA
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,2200,1184480,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SHANGHAI,CHINA (MAINLAND)
2020,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,4650,2285010,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SHANGHAI,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,505,255083,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,402,123466,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,BANGLADESH
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,101,30977,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,BANGLADESH
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,81,33168,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255365,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255618,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,154065,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,61774,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,18495,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,18503,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,301,91829,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,THAILAND
2020,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,600,328427,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TUTICORIN,INDIA
2020,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,500,273689,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,TUTICORIN,INDIA
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,505,255254,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,202,102189,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,800,375191,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,QINGDAO,CHINA (MAINLAND)
2020,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,5990,2956065,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,NINGBO,CHINA (MAINLAND)
2020,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,2000,993000,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,ULSAN,SOUTH KOREA
2020,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,4010,1990965,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,ULSAN,SOUTH KOREA
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,505,255093,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,255291,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,304,153401,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,255753,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,203,83064,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255356,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255309,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,18521,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,18498,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,18485,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,61830,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,61803,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,100,30893,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,100,30799,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,101,30967,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,100,30831,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,INDIA
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255361,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
2020,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,506,245147,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,KARACHI,PAKISTAN
2020,470329,MARUBENI,TANJUNG ENIM LESTARI,TANJUNG PRIOK,SUMATERA SELATAN,695,275871,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,CHONGQING,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,UNKNOWN,RIAU,506,255310,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255536,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,182,74716,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,207534,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,207465,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,207404,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,255467,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,PORT KELANG,CHINA (MAINLAND)
2020,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,303,124285,UNKNOWN,UNKNOWN,UNKNOWN COUNTRY,SINGAPORE,CHINA (MAINLAND)
