YEAR,WOOD_SUPPLIER_TRASE_ID,WOOD_SUPPLIER_CORPORATE_GROUP,WOOD_SUPPLIER,WOOD_SUPPLIER_PROVINCE,WOOD_SUPPLIER_ISLAND,MILL_CORPORATE_GROUP,MILL,WOOD_SOURCE,PULPWOOD_VOLUME_M3
2017,ID-WOOD-CONCESSION-0565,ROYAL GOLDEN EAGLE,PT ITCI HUTANI MANUNGGAL,KALIMANTAN TIMUR,KALIMANTAN,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"1252050,37"
2017,ID-WOOD-CONCESSION-0358,SINAR MAS,PT KALIMANTAN SUBUR PERMAI,KALIMANTAN BARAT,KALIMANTAN,SINAR MAS,OKI,PLANTATION,"4745,48"
2017,ID-WOOD-CONCESSION-0358,SINAR MAS,PT KALIMANTAN SUBUR PERMAI,KALIMANTAN BARAT,KALIMANTAN,SINAR MAS,INDAH KIAT,PLANTATION,"293273,23"
2017,ID-WOOD-CONCESSION-0544,SINAR MAS,PT KELAWIT WANA LESTARI I,KALIMANTAN TIMUR,KALIMANTAN,SINAR MAS,INDAH KIAT,PLANTATION,"5354,64"
2017,ID-WOOD-CONCESSION-0365,KORINDO,PT KORINTIGA HUTANI,KALIMANTAN TENGAH,KALIMANTAN,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"15865,81"
2017,ID-WOOD-CONCESSION-0365,KORINDO,PT KORINTIGA HUTANI,KALIMANTAN TENGAH,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"203896,24"
2017,ID-WOOD-CONCESSION-0466,UNKNOWN AFFILIATION,PT MADUKORO,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"359689,39"
2017,ID-WOOD-CONCESSION-0287,SUMITOMO,PT MAYANGKARA TANAMAN INDUSTRI,KALIMANTAN BARAT,KALIMANTAN,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"279288,07"
2017,ID-WOOD-CONCESSION-0445,SINAR MAS,PT MITRA HUTANI JAYA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"231841,93"
2017,ID-WOOD-CONCESSION-0437,UNKNOWN AFFILIATION,PT MITRA KEMBANG SELARAS,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"223769,72"
2017,ID-WOOD-CONCESSION-0444,UNKNOWN AFFILIATION,PT MITRA TANI NUSA SEJATI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"66235,76"
2017,ID-WOOD-CONCESSION-0636,MARUBENI,PT MUSI HUTAN PERSADA,SUMATERA SELATAN,SUMATRA,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"778279,66"
2017,ID-WOOD-CONCESSION-0644,UNKNOWN AFFILIATION,PT MUTIARA SABUK KHATULISTIWA,RIAU,SUMATRA,SINAR MAS,OKI,PLANTATION,"94260,63"
