YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640362,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617260,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617253,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617367,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617033,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1014,616365,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617131,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617229,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617135,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617312,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617205,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,617322,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,661,245948,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,PORT KELANG,SAUDI ARABIA
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,241,82357,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,THAILAND
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1004,343476,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,NINGBO,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,79,49861,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,324,204534,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,11049,4175240,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,CHITTAGONG,BANGLADESH
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,76029,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,8032,3036028,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,HALDIA,INDIA
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,100,34347,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,THAILAND
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,200,75413,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1004,379574,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SHANGHAI,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,502,189716,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,NINGBO,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,9541,3606579,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,CHITTAGONG,BANGLADESH
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,401,137305,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,VIETNAM
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,75938,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,68785,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,THAILAND
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,141,53116,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,INDIA
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,402,137582,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,VIETNAM
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,241,91234,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,PAKISTAN
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,4822,1822607,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,GUNSAN (ES KUNSAN),SOUTH KOREA
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,2209,817100,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,IYOMISHIMA,JAPAN
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,3625,1370115,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,PYONGTAEK,SOUTH KOREA
2022,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1004,379698,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,NINGBO,CHINA (MAINLAND)
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,503,189981,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,PHILIPPINES
2022,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,68732,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,507,320124,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,508,320459,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,508,320340,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,508,320352,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,244,153715,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640250,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,FUZHOU,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640548,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,244,153857,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,122,76915,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,41,25725,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,467,294632,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,507,319942,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,507,319899,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SINGAPORE,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,10523,6414206,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,LIANYUNGANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640263,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,FUZHOU,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1014,639588,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,FUZHOU,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1013,639357,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,FUZHOU,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640730,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,FUZHOU,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1014,640066,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,FUZHOU,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1014,639854,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,TANJONG PELEPAS,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,507,320205,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,507,308326,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
