YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,98432,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,THAILAND
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,262,144444,MARUBENI,MARUBENI CORP,JAPAN,#N/A,MALAYSIA
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,515,252371,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,PAKISTAN
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,241,115642,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,503,246565,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,THAILAND
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,246008,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2015,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,1000,481760,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2015,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,540,268263,UNKNOWN AFFILIATION,SUZHOU HUANG YI TRADE CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,245774,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,121,59089,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,TAIWAN
2015,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,72,37754,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,JAPAN
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,161,77283,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,28925,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2015,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,761,401898,UNKNOWN AFFILIATION,SUZHOU HUANG YI TRADE CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,240878,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2015,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,18,9311,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,JAPAN
2015,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,640,325511,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,241032,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,TANJUNG PRIOK,SUMATERA SELATAN,300,173157,MARUBENI,MARUBENI CORP,JAPAN,#N/A,JAPAN
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,219,116319,MARUBENI,MARUBENI CORP,JAPAN,#N/A,TAIWAN
2015,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,497,260856,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,503,246553,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2015,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,1000,522500,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,SOUTH KOREA
2015,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,993,521438,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,549,294147,MARUBENI,MARUBENI CORP,JAPAN,#N/A,TAIWAN
2015,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,620,323950,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,SOUTH KOREA
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,549,293975,MARUBENI,MARUBENI CORP,JAPAN,#N/A,CHINA (MAINLAND)
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,1049,581989,MARUBENI,MARUBENI CORP,JAPAN,#N/A,SOUTH KOREA
2015,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,380,198550,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,SOUTH KOREA
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,1049,582165,MARUBENI,MARUBENI CORP,JAPAN,#N/A,SOUTH KOREA
2015,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,499,262097,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2015,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,100,52250,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,SOUTH KOREA
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,439,244304,MARUBENI,MARUBENI CORP,JAPAN,#N/A,SOUTH KOREA
2015,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,996,487919,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,EGYPT
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,TANJUNG PRIOK,SUMATERA SELATAN,496,258062,MARUBENI,MARUBENI CORP,JAPAN,#N/A,CHINA (MAINLAND)
2015,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,549,293933,MARUBENI,MARUBENI CORP,JAPAN,#N/A,CHINA (MAINLAND)
