YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1006,432368,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,NINGBO,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,2000,934000,UNKNOWN AFFILIATION,FREELAND UNIVERSAL LTD,CHINA (HONG KONG),CHANGSHU,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,SUNGAI PAKNING,RIAU,3300,1541100,UNKNOWN AFFILIATION,FREELAND UNIVERSAL LTD,CHINA (HONG KONG),CHANGSHU,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,215980,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,PUNE,INDIA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,993,426954,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,CHANGDE,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,804,345653,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,BEIRUT,LEBANON
2016,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,501,237894,CREATIVE,CREATIVE PAPER MILLS LTD,BANGLADESH,CHITTAGONG,BANGLADESH
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,TANJUNG PRIOK,SUMATERA SELATAN,710,303490,MARUBENI,MARUBENI CORP,JAPAN,YOKOHAMA,JAPAN
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,60,24082,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,JAWAHARLAL NEHRU (NHAVA S,INDIA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1004,401768,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,FUZHOU,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,201,86516,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,FUZHOU,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,200,86101,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,REWARI,INDIA
2016,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,1001,495490,EMAMI,EMAMI PAPER MILLS LTD,INDIA,HALDIA,INDIA
