Year;Country of wood production;Province of wood production;Pulp wood source;Wood supplier;Wood supplier corporate group;Pulp mill;Pulp mill corporate group;Zero deforestation commitments;Product type;Pulp grade;Province of pulp export;Importer;Importer corporate group;Country of importer;Country of destination;Province of wood production trase id;Wood supplier trase id;Emissions from peat burning;Emissions from peat subsidence;Gross emissions from land use change;Net emissions from land use change;Country of wood production trase id;Country of destination (Trase ID);Country of importer trase id;Pulp volume;Annual wood pulp deforestation;Annual burned area;Total emissions in wood pulp concession;Concession area;Annual deforestation;Annual Deforestation on Peatlands;Pulpwood planted area;Peat area;Natural forest area;Historical deforestation for wood pulp;Pulpwood volume
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;ASIA PACIFIC ENERGY CORP GENERAL TRADING LLC;ROYAL GOLDEN EAGLE / TANOTO;UNITED ARAB EMIRATES;UNITED ARAB EMIRATES;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;AE;AE;1,512818208;0;0;0;0;0;0;0;0;0;0;7,1024148
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;AVORTEX LTD;KISAGUN;UNITED KINGDOM;TURKEY;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;TR;GB;4,853625085;0;0;0;0;0;0;0;0;0;0;22,78691415
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;BRIGHTENING SKY CO LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;CN;HK;128,1420056;0;0;0;0;0;0;0;0;0;0;601,604127
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CHINA UNION (MACAO COMMERCIAL OFFSHORE) CO LTD;CHINA UNION;CHINA (MAINLAND);CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;CN;CN;1,5758523;0;0;0;0;0;0;0;0;0;0;7,39834875
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CHINA UNION (MACAO COMMERCIAL OFFSHORE) CO LTD;CHINA UNION;MACAO;CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;CN;MO;64,84947386;0;0;0;0;0;0;0;0;0;0;304,4568478
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CREATIVE PAPER MILLS LTD;CREATIVE;BANGLADESH;BANGLADESH;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;BD;BD;6,303409201;0;0;0;0;0;0;0;0;0;0;29,593395
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;DRAGON CROWN (HK) TRADING LTD;DRAGON CROWN HOLDINGS;CHINA (HONG KONG);CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;CN;HK;497,3957167;0;0;0;0;0;0;0;0;0;0;2335,185206
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;EKMAN PULP AND PAPER LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);KUWAIT;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;KW;HK;2,332261404;0;0;0;0;0;0;0;0;0;0;10,94955615
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;FREELAND UNIVERSAL LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;CN;HK;79,24015707;0;0;0;0;0;0;0;0;0;0;372,0185686
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;AUSTRALIA;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;AU;SG;26,7894891;0;0;0;0;0;0;0;0;0;0;125,7719288
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;BANGLADESH;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;BD;SG;141,4548059;0;0;0;0;0;0;0;0;0;0;664,1053772
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;CN;SG;134,9370808;0;0;0;0;0;0;0;0;0;0;633,5058068
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;DJIBOUTI;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;DJ;SG;2,954723063;0;0;0;0;0;0;0;0;0;0;13,87190391
2019;AUSTRALIA;UNKNOWN;IMPORT;ALLIED NATURAL WOOD EXPORTS (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;EGYPT;ID-XX;ID-WOOD-CONCESSION-0002;0;0;0;0;AU;EG;SG;11,0309661;0;0;0;0;0;0;0;0;0;0;51,78844125
