YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2023,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,1000,490390,HONG WON,HONG WON PAPER MFG CO LTD,SOUTH KOREA,GUNSAN (ES KUNSAN),SOUTH KOREA
2023,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3000,1471170,UNKNOWN AFFILIATION,MSS PULP CO LTD,SOUTH KOREA,GUNSAN (ES KUNSAN),SOUTH KOREA
2023,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1010,602834,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2023,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,4000,1961560,HANSOL,HANSOL PAPER CO LTD,SOUTH KOREA,GUNSAN (ES KUNSAN),SOUTH KOREA
2023,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,5000,2712500,SINAR MAS,SHANDONG BOHUI PAPER INDUSTRY CO LTD,CHINA (MAINLAND),QINGDAO,CHINA (MAINLAND)
2023,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,505,301506,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,FUZHOU,CHINA (MAINLAND)
2023,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,505,301335,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,LIANYUNGANG,CHINA (MAINLAND)
2023,440122,ROYAL GOLDEN EAGLE,BALIKPAPAN CHIP LESTARI,BALIKPAPAN,KALIMANTAN TIMUR,20138,2920052,ROYAL GOLDEN EAGLE,ASIA SYMBOL (SHANDONG) PULP AND PAPER,CHINA (MAINLAND),RIZHAO,CHINA (MAINLAND)
2023,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,1000,490390,HONG WON,HONG WON PAPER MFG CO LTD,SOUTH KOREA,GUNSAN (ES KUNSAN),SOUTH KOREA
2023,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3000,1632000,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),ZHENJIANG,CHINA (MAINLAND)
