YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2017,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,1443,636530,MARUBENI,MARUBENI CORP,JAPAN,QINGDAO,CHINA (MAINLAND)
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1006,432377,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,CHONGQING,CHINA (MAINLAND)
2017,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,481,213351,MARUBENI,MARUBENI CORP,JAPAN,ANKLESHWAR,INDIA
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,101,44286,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,NAGPUR,INDIA
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,220817,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,NINGBO,CHINA (MAINLAND)
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,215946,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,CHITTAGONG,BANGLADESH
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,402,176807,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,BANGKOK,THAILAND
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,503,216266,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,XINGANG,CHINA (MAINLAND)
2017,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,110,48672,MARUBENI,MARUBENI CORP,JAPAN,NAGPUR,INDIA
2017,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,503,221153,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,CHITTAGONG,BANGLADESH
2017,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,991,470626,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,XINGANG,CHINA (MAINLAND)
2017,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1000,501330,EMAMI,EMAMI PAPER MILLS LTD,INDIA,HALDIA,INDIA
2017,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,407,175538,MARUBENI,MARUBENI CORP,JAPAN,LAT KRABANG,THAILAND
2017,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,288,144060,ITOCHU,ITOCHU CORP TOKPU,JAPAN,SHIMIZU,JAPAN
