YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,1500,748875,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,332978,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,332612,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,FUZHOU,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,2000,1000500,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,333435,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,FUZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,506,333376,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,485,319509,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,LIANYUNGANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333932,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,FUZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,505,333057,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,500,249300,XIANMEN C&D,HONG KONG PAPER SOURCES CO LTD,CHINA (HONG KONG),NANSHA,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333957,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,FUZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333953,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333981,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,FUZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333977,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3000,1495800,XIANMEN ITG,XIAMEN ITG GROUP CORP LTD,CHINA (MAINLAND),NANSHA,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,500,249300,XIANMEN C&D,HONG KONG PAPER SOURCES CO LTD,CHINA (HONG KONG),NANSHA,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,486,247401,NIPPON PAPER,SIAM NIPPON INDUSTRIAL PAPER CO LTD,THAILAND,LAT KRABANG,THAILAND
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,20,10203,MARUBENI,MARUBENI CORP,JAPAN,OSAKA,JAPAN
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,1500,749250,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3100,1548450,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,290,150379,MARUBENI,MARUBENI CORP,JAPAN,SHIMIZU,JAPAN
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3100,1548450,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,2000,999000,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,145,73227,ANKIT,ANKIT PULPS AND BOARDS PVT LTD,INDIA,ICD MIHAN,INDIA
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3100,1548450,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,129,62676,UNKNOWN AFFILIATION,VECHEM ORGANICS PVT LTD,INDIA,JAWAHARLAL NEHRU (NHAVA S,INDIA
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,257,126496,UNKNOWN AFFILIATION,TESORO TRADELINKS,INDIA,ICD MIHAN,INDIA
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,58,30036,MARUBENI,MARUBENI CORP,JAPAN,SHIMIZU,JAPAN
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,19,10009,MARUBENI,MARUBENI CORP,JAPAN,SHIMIZU,JAPAN
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3100,1548450,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,2025,828225,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,MUMBAI (EX BOMBAY),INDIA
2024,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1010,410910,ROYAL GOLDEN EAGLE,APRIL INTERNATIONAL ENTEPRISE PTE LTD,SINGAPORE,NINGBO,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3100,1548450,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,505,333980,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,JIUJIANG,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,194,100614,MARUBENI,MARUBENI CORP,JAPAN,YOKOHAMA,JAPAN
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,3300,1648350,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),QINZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,504,332523,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,440122,ROYAL GOLDEN EAGLE,BALIKPAPAN CHIP LESTARI,BALIKPAPAN,KALIMANTAN TIMUR,16769,2381158,ROYAL GOLDEN EAGLE,ASIA SYMBOL (SHANDONG) PULP AND PAPER,CHINA (MAINLAND),RIZHAO,CHINA (MAINLAND)
2024,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,300,160200,SINAR MAS,TAMIL NADU NEWSPRINT AND PAPERS LTD,INDIA,TUTICORIN,INDIA
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333212,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333326,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333152,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,504,332361,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,500,267000,SINAR MAS,TAMIL NADU NEWSPRINT AND PAPERS LTD,INDIA,TUTICORIN,INDIA
2024,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,500,267000,SINAR MAS,TAMIL NADU NEWSPRINT AND PAPERS LTD,INDIA,TUTICORIN,INDIA
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,505,333057,ROYAL GOLDEN EAGLE,APRIL FINE PAPER TRADING MIDDLE EAST,UNITED ARAB EMIRATES,FUZHOU,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,504,333711,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,504,333565,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,JIUJIANG,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,500,249845,YOUNUS,YOUNUS FINE PAPER MILLS LTD,BANGLADESH,CHATTOGRAM,BANGLADESH
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,TARAHAN,SUMATERA SELATAN,966,477188,SINOTRANS LTD,QINGDAO SINOTRANS SUPPLY CHAIN MANAGEMENT CO LTD,CHINA (MAINLAND),QINGDAO,CHINA (MAINLAND)
2024,470329,SINAR MAS,OKI,SULTAN MAHMUD BADARUDDIN (U),SUMATERA SELATAN,600,299814,MEGHNA GROUP OF INDUSTRIES,MEGHNA PULP AND PAPER MILLS LTD,BANGLADESH,CHATTOGRAM,BANGLADESH
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,TARAHAN,SUMATERA SELATAN,2897,1470163,JIANGHE PAPER,HENAN JIANGHE PAPER CO LTD,CHINA (MAINLAND),QINGDAO,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,TARAHAN,SUMATERA SELATAN,2701,1371095,JIANGHE PAPER,HENAN JIANGHE PAPER CO LTD,CHINA (MAINLAND),QINGDAO,CHINA (MAINLAND)
2024,470329,MARUBENI,TANJUNG ENIM LESTARI,TARAHAN,SUMATERA SELATAN,1932,980358,JIANGHE PAPER,HENAN JIANGHE PAPER CO LTD,CHINA (MAINLAND),QINGDAO,CHINA (MAINLAND)
